0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2750214.092,953302.8574,5619062,1954817,2910749.712,839530765.5,2332899.5,0,0.012049595,10973.14606,85.54132648,0.004567604,-0.000744546,2.09E-05,2.251734964,36158.65537,161026.9101,72394.3865,-0.924498618,6.61E-13,5.67E-05,0.969711404,0.034936631,2.09E-05
2763634.739,816380.1061,5185560,1921743,2881692.809,842742670.5,2620551.5,0,0.012049595,10973.14606,85.54132648,0.004567604,-0.000744546,2.09E-05,2.513061285,-25266.3096,122278.6079,178280.5344,-0.924498618,6.91E-13,8.11E-05,0.998288901,0.034936631,2.09E-05
2718755.83,892134.6582,5443406,1858605,2861387.34,828976485.5,2480490,0,0.012049595,10973.14606,85.54132648,0.004567604,-0.000744546,2.09E-05,2.405096293,5725.000743,117054.8886,177328.2807,-0.924498618,6.48E-13,5.75E-05,0.996497869,0.034936631,2.09E-05
2832171.869,1020124.224,5886272,2012464.5,3010290.838,863323480.5,2346067,0,0.012049595,10973.14606,85.54132648,0.004567604,-0.000744546,2.09E-05,2.160599131,63024.89166,100567.5255,65493.38769,-0.924498618,5.88E-13,4.59E-05,0.993807635,0.034936631,2.09E-05
2750789.928,898279.0114,5428683,1970481.5,2893743.322,838733021.5,2432224.5,0,0.012049595,10973.14606,85.54132648,0.004567604,-0.000744546,2.09E-05,2.368617536,62572.73738,73740.96055,110043.7075,-0.924498618,6.94E-13,6.43E-05,0.995687418,0.034936631,2.09E-05
2782550.588,878091.5446,5415741,2014131.5,2917812.972,848425597.5,2463904.5,0,0.012049595,10973.14606,85.54132648,0.004567604,-0.000744546,2.09E-05,2.421893771,69521.78033,124638.7353,136157.6151,-0.924498618,7.00E-13,6.53E-05,0.996255291,0.034936631,2.09E-05
2920137.693,1030053.257,5931520,2049862,3096484.112,890186609.5,2475090.5,0,0.012049595,10973.14606,85.54132648,0.004567604,-0.000744546,2.09E-05,2.315666352,81181.12146,167935.6151,67958.16189,-0.924498618,5.44E-13,3.95E-05,0.994226205,0.034936631,2.09E-05
3310310.974,826797.4289,5616224,2585175.5,3412001.28,1009250238,3012642,0,0.012049595,10973.14606,85.54132648,0.004567604,-0.000744546,2.09E-05,2.225043646,93234.91759,132856.1363,8123.966013,-0.924498618,6.89E-13,0.00013517,0.995084398,0.034936631,2.09E-05
2852011.353,1018367.925,5832892,2012270.5,3028372.828,869479814.5,2376127.5,0,0.012049595,10973.14606,85.54132648,0.004567604,-0.000744546,2.09E-05,2.263066482,86113.25167,138437.2492,56189.15472,-0.924498618,5.63E-13,4.01E-05,0.993674182,0.034936631,2.09E-05
2811155.588,816819.2145,5312481,2093616,2927420.259,857220384.5,2543207.5,0,0.012049595,10973.14606,85.54132648,0.004567604,-0.000744546,2.09E-05,2.44251749,43908.21275,92326.16808,143205.4346,-0.924498618,7.96E-13,1.00E-04,0.996870021,0.034936631,2.09E-05
4363680.575,925035.3224,5545060,2886063.5,4460650.01,1331573959,4598527,0,0.012049595,10973.14606,85.54132648,0.004567604,-0.000744546,2.09E-05,2.368923749,-92239.16292,-139577.4345,53652.83094,-0.924498618,-6.81E-13,0.000128895,0.989582708,0.034936631,2.09E-05
